id вуза,Образовательное учреждение,Регион вуза,Всего студентов,Качественных студентов
3942,федеральное государственное казенное военное профессиональное образовательное учреждение 183 учебный центр Министерства обороны Российской Федерации,Ростовская область,4,1
4076,Общество с ограниченной ответственностью «Северо-Западный региональный центр Концерна ВКО «Алмаз-Антей»,г. Санкт-Петербург,31,2
4096,филиал Ухтинского государственного технического университета в г. Усинске,Республика Коми,251,4
4223,Красносельское училище художественной обработки металлов (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Московская государственная художественно-промышленная академия им. С.Г. Строганова»,Костромская область,364,15
4301,федеральное государственное казенное военное образовательное учреждение высшего образования «Ярославское высшее военное училище противовоздушной обороны» Министерства обороны Российской Федерации,Ярославская область,21,4
4313,Федеральное государственное бюджетное учреждение «Всероссийский научно-исследовательский геологический институт им. А.П. Карпинского»,г. Санкт-Петербург,7,2
4392,федеральное государственное казенное военное образовательное учреждение высшего образования «Краснодарское высшее военное авиационное училище летчиков имени Героя Советского Союза А.К.Серова» Министерства обороны Российской Федерации,Краснодарский край,66,2
4400,Сахалинское высшее морское училище имени Т.Б. Гуженко - филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Морской государственный университет имени адмирала Г.И. Невельского»,Сахалинская область,259,7
4454,Сасовское имени Героя Советского Союза Тарана Г.А. лётное училище гражданской авиации - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева»,Рязанская область,84,0
4456,Краснокутское лётное училище гражданской авиации имени заслуженного пилота СССР Васина И.Ф. - филиал федерального государственного бюджетного образовательного учреждения высшего образования «Ульяновский институт гражданской авиации имени Главного маршала авиации Б.П. Бугаева»,Саратовская область,99,0
4628,федеральное государственное казенное военное образовательное учреждение высшего образования «Тюменское высшее военно-инженерное командное училище имени маршала инженерных войск А.И.Прошлякова» Министерства обороны Российской Федерации,Тюменская область,101,2
4678,федеральное государственное казенное военное образовательное учреждение высшего образования «Тихоокеанское высшее военно-морское училище имени С.О.Макарова» Министерства обороны Российской Федерации (г. Владивосток),Приморский край,73,8
4792,Дербентский филиал Общества с ограниченной ответственностью «Азербайджанский Государственный Экономический Университет»,Республика Дагестан,1893,0
