id,short_name,name,legal_address,legal_inn,legal_kpp,legal_ogrn,region,branch
0,ФГКВОУВО «ВАГШ ВС РФ»,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Генерального Штаба Вооруженных Сил Российской Федерации»,"119571, г Москва, р-н Тропарево-Никулино, пр-кт Вернадского, д 100",7729107058,772901001,1027739757957,14,Нет
1,ФГБОУ ВО Брянский ГАУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский Государственный Аграрный Университет»,"243365, БРЯНСКАЯ ОБЛАСТЬ, М.Р-Н ВЫГОНИЧСКИЙ, С.П. КОКИНСКОЕ, С КОКИНО, УЛ СОВЕТСКАЯ, Д. 2А",3208000245,320801001,1023201936240,44,Нет
2,ФГБОУ ВО Донской ГАУ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской Государственный Аграрный Университет»,"346493, Ростовская область, Октябрьский р-н, поселок Персиановский, ул Кривошлыкова, зд 24",6125012570,612501001,1026101409630,1,Нет
3,ЧОУ ВО ТИУБ им. Н. Д. Демидова,Частное образовательное учреждение высшего образования тульский институт управления и бизнеса имени никиты демидовича демидова,"300028, Тульская область, г Тула, Советский р-н, ул Болдина, д 98Б",7104042311,710401001,1037100331652,45,Нет
4,ФГКОУ МПИ ФСБ России,Федеральное государственное казенное образовательное учреждение высшего образования «Московский Пограничный Институт Федеральной Службы Безопасности Российской Федерации»,"129345, г Москва, Бабушкинский р-н, ул Осташковская, д 15",7716166610,771601001,1037716015600,14,Нет
5,ФГБОУ ИВО «РГУ СоцТех»,Федеральное государственное бюджетное образовательное учреждение инклюзивного высшего образования «Российский Государственный Университет Социальных Технологий»,"107150, г Москва, р-н Метрогородок, ул Лосиноостровская, д 49",7718109215,771801001,1027700089405,14,Нет
6,ВА МТО,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Материально-технического Обеспечения Имени Генерала Армии А.В.Хрулева» министерства обороны российской федерации,"199034, г Санкт-Петербург, Василеостровский р-н, наб Макарова, д 8",7801046232,780101001,1027800567299,66,Нет
7,,Религиозная духовная образовательная организация высшего образования евангельских христиан-баптистов «Новосибирская Библейская Богословская Семинария»,"630117, Новосибирская область, г Новосибирск, Советский р-н, ул Океанская, д 9",5408170583,540801001,1025400002891,46,Нет
8,ГБОУ ВО ЧО «Магк (Академия) имени М.И. Глинки»,Государственное бюджетное образовательное учреждение высшего образования челябинской области «Магнитогорская Государственная Консерватория (академия) Имени М.И. Глинки»,"455036, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, Г.О. МАГНИТОГОРСКИЙ, Г МАГНИТОГОРСК, УЛ ГРЯЗНОВА, Д. 22",7446011965,745601001,1027402233187,19,Нет
9,,Религиозная организация - духовная образовательная организация высшего образования московской митрополии русской православной церкви «Коломенская Духовная Семинария»,"140406, Московская область, г Коломна, ул Голутвинская, д 11 к 8",5022022617,502201001,1035000037269,85,Нет
10,ГБОУ ВО НГИЭУ,Государственное бюджетное образовательное учреждение высшего образования «Нижегородский Государственный Инженерно-экономический Университет»,"606340, Нижегородская область, М.О. КНЯГИНИНСКИЙ, Г КНЯГИНИНО, УЛ ОКТЯБРЬСКАЯ, Д. 22А",5217003729,521701001,1035201235552,53,Нет
11,Военная академия ВКО имени маршала Советского союза Г.К.Жукова,Федеральное государственное казенное военное образовательное учреждение высшего образования «Военная Академия Воздушно-космической Обороны Имени Маршала Советского Союза Г.К. Жукова» министерства обороны российской федерации,"170100, Тверская область, г Тверь, ул Жигарева, д 50",6905004997,695001001,1026900592058,68,Нет
12,ФГБОУ ВО «СГУ»,Федеральное государственное бюджетное образовательное учреждение высшего образования «Сочинский Государственный Университет»,"354003, Краснодарский край, г Сочи, Центральный р-н, ул Пластунская, д 94",2320051199,232001001,1022302918406,25,Нет
13,ТГМПИ им. С.В.Рахманинова,Тамбовское областное государственное бюджетное образовательное учреждение высшего образования «Тамбовский Государственный Музыкально-педагогический Институт Им. С.В.Рахманинова»,"392000, Тамбовская область, г Тамбов, ул Советская, д 87",6831015328,682901001,1026801156183,71,Нет
14,ФГБОУ ВО ЧГИФКИС,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чурапчинский Государственный Институт Физической Культуры И Спорта».,"678671, Республика Саха (Якутия), Чурапчинский улус, село Чурапча, ул Спортивная, д 2",1430006870,143001001,1021400920090,28,Нет
